Student_ID,Name,Roll_No,Year,Stream,Division
STU01001,Kavya Brar,1,FY,BSCIT,A
STU01002,Harsh Sen,2,FY,BSCIT,B
STU01003,Vijay Sethi,3,FY,BSCIT,C
STU01004,Vikram Dutta,4,FY,BSCIT,A
STU01005,Kabir Kohli,5,FY,BSCIT,B
STU01006,Mahesh Rajput,6,FY,BSCIT,C
STU01007,Ravi Kadam,7,FY,BSCIT,A
STU01008,Suresh Shukla,8,FY,BSCIT,B
STU01009,Rekha Bansal,9,FY,BSCIT,C
STU01010,Neelam Krishnan,10,FY,BSCIT,A
STU01011,Ajay Krishnan,11,FY,BSCIT,B
STU01012,Roshni Krishnan,12,FY,BSCIT,C
STU01013,Aditya Tiwari,13,FY,BSCIT,A
STU01014,Megha Modi,14,FY,BSCIT,B
STU01015,Zara Rawat,15,FY,BSCIT,C
STU01016,Vijay Rao,16,FY,BSCIT,A
STU01017,Aarush Menon,17,FY,BSCIT,B
STU01018,Ira Thakur,18,FY,BSCIT,C
STU01019,Arnav Shah,19,FY,BSCIT,A
STU01020,Pihu Subramanian,20,FY,BSCIT,B
STU01021,Aditya Rawat,21,FY,BSCIT,C
STU01022,Roshni Brar,22,FY,BSCIT,A
STU01023,Geeta Chopra,23,FY,BSCIT,B
STU01024,Sunita Bose,24,FY,BSCIT,C
STU01025,Kavya Gandhi,25,FY,BSCIT,A
STU11169,Shubham Pawar,1,SY,BSCIT,A
STU11170,Shanaya Banerjee,2,SY,BSCIT,B
STU11171,Atharva Sinha,3,SY,BSCIT,C
STU11172,Neha Kadam,4,SY,BSCIT,A
STU11173,Saanvi Sinha,5,SY,BSCIT,B
STU11174,Sakshi Jain,6,SY,BSCIT,C
STU11175,Vivaan Sen,7,SY,BSCIT,A
STU11176,Anvi Menon,8,SY,BSCIT,B
STU11177,Swati Naik,9,SY,BSCIT,C
STU11178,Nisha Joshi,10,SY,BSCIT,A
STU11179,Sneha Nambiar,11,SY,BSCIT,B
STU11180,Aanya Nambiar,12,SY,BSCIT,C
STU11181,Parth Virk,13,SY,BSCIT,A
STU11182,Sandeep Khanna,14,SY,BSCIT,B
STU11183,Tanya Tripathi,15,SY,BSCIT,C
STU11184,Vikas Das,16,SY,BSCIT,A
STU11185,Neelam Garg,17,SY,BSCIT,B
STU11186,Arush Goyal,18,SY,BSCIT,C
STU11187,Aditya Deshmukh,19,SY,BSCIT,A
STU11188,Ajay Wagh,20,SY,BSCIT,B
STU11189,Vihaan Rajput,21,SY,BSCIT,C
STU11190,Vivaan Mehta,22,SY,BSCIT,A
STU11191,Yash Bansal,23,SY,BSCIT,B
STU11192,Nisha Grewal,24,SY,BSCIT,C
STU11193,Arnav Arora,25,SY,BSCIT,A

